filename,subjectID,date,time,reward,choice,reward2,choice2,rexploit,rexplore,choiceorder,timestamp_BanditOn,timestamp_KeyPress,timestamp_RewardOn,timestamp_ProgressbarFinish,timestamp_UpdateGameFinish,version,horizon
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,73,1,NaN,NaN,73,49,NaN,308412.6661,308413.1506,308413.9325,308415.9723,308417.1386,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,73,1,NaN,NaN,73,42,NaN,308417.1893,308417.6547,308418.4226,308420.4608,308421.6265,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,62,2,NaN,NaN,73,62,NaN,308421.6573,308422.271,308423.0448,308425.0649,308426.2326,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,96,2,NaN,NaN,73,96,NaN,308426.2662,308426.7431,308427.5174,308429.537,308430.7046,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,96,1,NaN,NaN,96,2,NaN,308430.736,308431.4871,308432.2548,308434.0242,308435.0418,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,47,2,NaN,NaN,37,47,NaN,308437.1411,308437.9508,308438.7123,308440.733,308441.8998,solo,3
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,47,1,NaN,NaN,47,34,NaN,308441.9322,308442.3824,308443.1511,308445.1703,308446.3383,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,80,2,NaN,NaN,47,80,NaN,308446.3713,308446.7752,308447.5217,308449.1706,308450.2596,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,86,2,NaN,NaN,40,86,NaN,308452.2922,308453.991,308454.7617,308456.7966,308457.9646,solo,5
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,86,1,NaN,NaN,86,36,NaN,308458.0143,308458.3665,308459.1345,308461.171,308462.3389,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,86,1,NaN,NaN,86,19,NaN,308462.3687,308462.8632,308463.6395,308465.6595,308466.8266,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,86,1,NaN,NaN,86,92,NaN,308466.8608,308467.3193,308468.0791,308470.0982,308471.2647,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,86,1,NaN,NaN,86,81,NaN,308471.2986,308471.679,308472.4503,308474.0854,308475.2033,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,54,2,NaN,NaN,51,54,NaN,308477.239,308478.3026,308479.0735,308481.0927,308482.2612,solo,3
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,1,2,NaN,NaN,54,1,NaN,308482.2949,308482.6707,308483.4457,308485.4616,308486.6322,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,56,2,NaN,NaN,54,56,NaN,308486.666,308487.1432,308487.8829,308489.6686,308490.7369,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,79,1,NaN,NaN,79,22,NaN,308492.7542,308493.9668,308494.7411,308496.7615,308497.9287,solo,3
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,79,1,NaN,NaN,79,60,NaN,308497.9616,308498.2709,308499.0461,308501.066,308502.233,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,79,1,NaN,NaN,79,55,NaN,308502.2667,308503.0145,308503.7646,308505.5692,308506.618,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,18,2,NaN,NaN,52,18,NaN,308508.6567,308509.8148,308510.5889,308512.6287,308513.795,solo,5
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,2,2,NaN,NaN,52,2,NaN,308513.8459,308514.4705,308515.2471,308517.2833,308518.4518,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,85,2,NaN,NaN,52,85,NaN,308518.501,308519.5026,308520.2696,308522.2891,308523.4572,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,85,1,NaN,NaN,85,10,NaN,308523.4886,308523.9829,308524.7552,308526.7731,308527.9415,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,85,1,NaN,NaN,85,9,NaN,308527.9764,308528.5192,308529.2791,308531.0819,308532.1159,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,24,2,NaN,NaN,74,24,NaN,308534.1648,308535.0228,308535.8203,308538.6074,308540.1086,solo,7
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,74,1,NaN,NaN,74,41,NaN,308540.1548,308540.8945,308541.6927,308544.2454,308545.6646,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,74,1,NaN,NaN,74,22,NaN,308545.7142,308546.3433,308547.1147,308549.1473,308550.3196,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,74,1,NaN,NaN,74,76,NaN,308550.3688,308551.4707,308552.2386,308554.2741,308555.4414,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,74,1,NaN,NaN,74,12,NaN,308555.4918,308556.4386,308557.209,308559.2291,308560.3967,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,63,2,NaN,NaN,74,63,NaN,308560.4301,308561.0149,308561.7822,308563.8009,308564.9685,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,90,2,NaN,NaN,74,90,NaN,308565.0015,308565.1273,308565.8866,308567.6343,308568.6734,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,64,1,NaN,NaN,64,97,NaN,308570.7241,308572.2869,308573.0598,308575.0798,308576.248,solo,3
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,64,1,NaN,NaN,64,38,NaN,308576.2799,308576.4069,308577.166,308579.1851,308580.3531,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,22,2,NaN,NaN,64,22,NaN,308580.3859,308580.4953,308581.253,308583.1402,308584.1725,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,63,1,NaN,NaN,63,5,NaN,308586.393,308587.7908,308588.5607,308590.314,308591.4114,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,96,2,NaN,NaN,39,96,NaN,308593.4341,308594.7512,308595.5183,308597.5385,308598.7061,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,96,1,NaN,NaN,96,33,NaN,308598.7389,308599.2229,308599.9911,308601.9928,308603.1616,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,96,1,NaN,NaN,96,56,NaN,308603.1936,308603.2868,308604.0453,308605.712,308606.7479,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,21,2,NaN,NaN,28,21,NaN,308608.817,308609.5588,308610.3506,308613.139,308614.639,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,54,2,NaN,NaN,28,54,NaN,308614.874,308615.1752,308615.9737,308618.6452,308620.08,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,29,2,NaN,NaN,54,29,NaN,308620.1257,308620.6232,308621.3945,308623.4333,308624.6015,solo,
